Name,lat,lon
Lanmeur,48.64711,-3.71638
Langrune-sur-Mer,49.32346,-0.37346
Landivy,48.47963,-1.03406
Lamastre,44.98672,4.57975
La Génétouze,46.73333,-1.51667
Lafrançaise,44.1276,1.24049
La Couture,50.58212,2.7071
Abbeville,50.10521,1.83547
La Fourragère,43.30382,5.43138
La Rose,43.32889,5.42859
La Chevrolière,47.09105,-1.61119
Lachapelle-aux-Pots,49.44905,1.90228
La Biolle,45.75846,5.92866
Kerbach,49.16682,6.96549
Jouy-le-Moutier,49.01068,2.04028
Jouy-le-Châtel,48.66651,3.13036
Jasseron,46.21316,5.32579
Issé,47.62328,-1.45141
Idron,43.28935,-0.31199
Heugas,43.64201,-1.08004
Héry,47.90146,3.62868
Herbignac,47.44909,-2.31722
Herbeys,45.14012,5.79289
Herbault,47.60501,1.13934
Hénon,48.38537,-2.68304
Haulchin,50.3172,3.43599
Harfleur,49.5066,0.19827
Harbonnières,49.84958,2.66812
Hanvec,48.32754,-4.16133
Gouville-sur-Mer,49.09611,-1.57908
Gommegnies,50.27155,3.70625
Glomel,48.22288,-3.39526
Gardouch,43.39073,1.68406
Gamaches,49.98615,1.55624
Fumel,44.49898,0.96725
Frontignan,43.44775,3.75524
Frontenex,45.63335,6.31168
Forest-sur-Marque,50.63341,3.18939
Fontenay-sur-Loing,48.10365,2.77542
Fontaine-le-Bourg,49.56451,1.16391
Feyzin,45.67287,4.85894
Ferrette,47.49436,7.31372
Faulquemont,49.0491,6.59732
Ézanville,49.02794,2.36787
Étang-sur-Arroux,46.8656,4.18988
Étagnac,45.89498,0.77871
Douvrin,50.50916,2.83053
Doussard,45.77512,6.22553
Douai,50.37069,3.07922
Die,44.7536,5.37033
Darnétal,49.44533,1.15144
Dampierre-en-Burly,47.76143,2.51962
Cysoing,50.56939,3.21627
Custines,48.79127,6.14461
Crottet,46.27602,4.89388
Cran-Gevrier,45.9,6.1
Coursan,43.2337,3.05712
Couffé,47.39191,-1.29151
Condé-sur-Vesgre,48.74199,1.66069
Condé-sur-Noireau,48.84881,-0.55214
Cocheren,49.14384,6.85649
Clonas-sur-Varèze,45.41382,4.79077
Civray,46.14801,0.29513
Chênehutte-Trèves-Cunault,47.31084,-0.16042
Chaudron-en-Mauges,47.28809,-0.98547
Châtillon-en-Michaille,46.1432,5.7995
Châteauneuf-sur-Isère,45.01667,4.93333
Chasné-sur-Illet,48.24005,-1.56383
Charnay-lès-Mâcon,46.30751,4.78479
Charleval,43.71864,5.24546
Charenton-le-Pont,48.82209,2.41217
Challes-les-Eaux,45.54685,5.98098
Chadrac,45.06181,3.90261
Chabris,47.25343,1.65181
Cerelles,47.50168,0.68333
Cauterets,42.8892,-0.11412
Cauchy-à-la-Tour,50.50394,2.44606
Catenoy,49.36824,2.51054
Carhaix-Plouguer,48.27594,-3.57326
Brioude,45.29419,3.38423
Breuil-le-Vert,49.36176,2.43633
Bretignolles-sur-Mer,46.62774,-1.85675
Breteil,48.1452,-1.89864
Bracieux,47.54895,1.5412
Bournoncle-Saint-Pierre,45.34351,3.3183
Bompas,42.73099,2.93325
Bilieu,45.44809,5.54268
Biars-sur-Cère,44.92831,1.8465
Biard,46.57726,0.30554
Berteaucourt-les-Dames,50.04697,2.1575
Berstett,48.679,7.65721
Bennwihr,48.14456,7.32445
Beaumetz-lès-Loges,50.23897,2.65818
Beaucourt,47.48878,6.92214
Basse-Ham,49.38626,6.2418
Barcelonnette,44.38691,6.65179
Bapaume,50.10379,2.84966
Bailleul-Sir-Berthoult,50.33752,2.85129
Baillargues,43.66126,4.01283
Bagnères-de-Luchon,42.79079,0.59341
Auxonne,47.19255,5.38726
Aulnay-sous-Bois,48.93814,2.49402
Arthès,43.95592,2.20796
Artannes-sur-Indre,47.27451,0.60036
Arc-sur-Tille,47.34349,5.18666
Arbois,46.90311,5.77454
Amblainville,49.20443,2.12242
Allonnes,47.29339,0.02277
Allanche,45.22907,2.93449
Ahetze,43.40561,-1.57138
Marseille 03,43.30257,5.37583
Noailles,43.29604,5.37959
Saint-Tronc,43.27093,5.42285
Yzeures-sur-Creuse,46.78609,0.87166
Wimmenau,48.91217,7.42189
Widensolen,48.06377,7.48015
Wallers,50.37432,3.39188
Wahagnies,50.48665,3.03448
Voves,48.27138,1.62583
Viriat,46.25484,5.21567
Vignot,48.77418,5.60904
Vieux-Thann,47.804,7.12067
Le Vieux-Marché,48.6,-3.45
Veurey-Voroize,45.27268,5.61372
Vertaizon,45.76983,3.2865
Verlinghem,50.68291,2.99907
Verberie,49.31115,2.7321
Venizel,49.36583,3.39321
Velaines,48.6988,5.30483
Varades,47.385,-1.03039
Val-d'Isère,45.45142,6.97455
Uchaud,43.75725,4.26948
Tucquegnieux,49.3101,5.89448
Torcy,48.85064,2.65078
Thoiry,46.23762,5.98111
Souprosse,43.78867,-0.70946
Solliès-Pont,43.19009,6.04115
Silly-le-Long,49.10749,2.79226
Sillingy,45.94781,6.04415
Sessenheim,48.79652,7.98719
Septfonds,44.17831,1.61806
Seilhac,45.36709,1.7135
Schirrhein,48.80161,7.90588
Sceaux,48.77644,2.29026
Sauverny,46.31514,6.11827
Saumur,47.25931,-0.07808
Saulx-les-Chartreux,48.69062,2.26727
Sault-Brénaz,45.86132,5.39954
Sarrewerden,48.92261,7.08412
Saint-Vallier,45.17154,4.81758
Saint-Thuriau,48.01698,-2.95048
Saint-Savin,45.62776,5.30856
Saint-Sauveur,45.2022,-0.835
Saint-Rogatien,46.15061,-1.07092
Saint-Quay-Perros,48.79227,-3.44649
Saint-Pol-sur-Ternoise,50.38113,2.33407
Saint-Piat,48.54668,1.58363
Saint-Ours,45.85024,2.89163
Saint-Nicolas-de-la-Grave,44.06412,1.02252
Saint-Méloir-des-Ondes,48.6379,-1.90439
Saint-Melaine-sur-Aubance,47.3702,-0.49518
Saint-Martin-de-Belleville,45.38175,6.50519
Saint-Mars-de-Coutais,47.11266,-1.73552
Saint-Léonard,50.69058,1.62536
Saint-Léger-sur-Dheune,46.84548,4.63607
Saint-Just-Sauvage,48.55478,3.78449
Saint-Julien-de-Peyrolas,44.2882,4.56487
Saint-Jean-Pied-de-Port,43.16473,-1.23729
Saint-Jean-en-Royans,45.01968,5.29223
Saint-Jean-de-Boiseau,47.19424,-1.72485
Saint-Jean-Cap-Ferrat,43.68843,7.33361
Saint-Jean,43.66519,1.50459
Saint-Hilaire,44.53333,0.71667
Saint-Gonnery,48.12396,-2.82002
Saint-Germain-Lembron,45.45793,3.23973
Saint-Geniès-des-Mourgues,43.6978,4.0361
Saint-Gengoux-le-National,46.61476,4.66261
Saint-Genest-Lerpt,45.44347,4.33968
Saint-Gelais,46.38292,-0.38986
Saint-Eusèbe,46.71346,4.46203
Saint-Étienne-lès-Remiremont,48.02287,6.60868
Saint-Estèphe,45.2648,-0.77182
Sainte-Marie-aux-Mines,48.24649,7.18385
Sainte-Marguerite,43.26196,5.40125
Sainte-Florine,45.40519,3.31732
Sainte-Anastasie-sur-Issole,43.34266,6.12493
Saint-Crespin-sur-Moine,47.09968,-1.18651
Saint-Cast-le-Guildo,48.63039,-2.25889
Saint-Benoît-sur-Loire,47.80561,2.31274
Saint-Augustin,48.78333,3.03016
Sagy,46.60129,5.31045
Ruoms,44.45294,4.34202
Rouffach,47.95786,7.30016
Rouans,47.1854,-1.86022
Rochemaure,44.58747,4.70391
Robecq,50.59608,2.56262
Ribemont,49.7954,3.45893
Replonges,46.30098,4.88317
Remy,49.43333,2.71667
Réhon,49.49878,5.75497
Rang-du-Fliers,50.41708,1.64431
Ramonville-Saint-Agne,43.54618,1.47491
Radinghem-en-Weppes,50.61884,2.90924
Quiévrechain,50.39172,3.66815
Quemper-Guézennec,48.70421,-3.10595
Puget-sur-Argens,43.45576,6.68519
Prissé,46.3213,4.74469
Priay,46.00183,5.28684
Précieux,45.58702,4.15152
Prayssac,44.5043,1.18778
Pornichet,47.26682,-2.33794
Pontivy,48.06835,-2.96645
Pontarlier,46.90347,6.35542
Plumelec,47.83797,-2.64074
Plougastel-Daoulas,48.37368,-4.36978
Ploubezre,48.70396,-3.44849
Pleuven,47.90606,-4.04384
Plélan-le-Petit,48.43421,-2.21907
Pithiviers,48.17185,2.25185
Piriac-sur-Mer,47.37936,-2.54652
Picauville,49.3781,-1.40048
Pénestin,47.48151,-2.47558
Palaja,43.17288,2.38787
Pagny-sur-Moselle,48.98365,6.02069
Orival,49.72429,1.20512
Origny-Sainte-Benoite,49.83333,3.5
Obenheim,48.35975,7.692
Nozay,48.65921,2.24151
Novéant-sur-Moselle,49.02366,6.04795
Nouzilly,47.54499,0.74623
Neuilly-le-Réal,46.46413,3.43197
Naintré,46.76285,0.48303
Murviel-lès-Montpellier,43.60528,3.7375
Mûr-de-Bretagne,48.20077,-2.98625
Mouroux,48.82263,3.03879
Mortagne-du-Nord,50.50352,3.45352
Morée,47.90397,1.23421
Montrevault,47.26145,-1.04579
Montreuil,50.46374,1.76348
Montjoire,43.76899,1.53362
Montigny-lès-Cormeilles,48.98201,2.20035
Montaut,43.12992,-0.20056
Montataire,49.259,2.43777
Moirans,45.3314,5.55432
Méziré,47.53336,6.92072
Ménesplet,45.01677,0.10733
Megève,45.85687,6.61775
Mazet-Saint-Voy,45.04696,4.24414
Mauron,48.08181,-2.28606
Marzy,46.98125,3.09352
Marsannay-la-Côte,47.27095,4.98895
Maromme,49.47925,1.02375
Mareuil,45.45074,0.45214
Marcoussis,48.64026,2.23858
Lucé,48.43689,1.46359
Louvigny,49.15715,-0.39376
Loon-Plage,50.99647,2.2177
Longwy,49.5217,5.76192
Longny-au-Perche,48.52984,0.75239
Liévin,50.4198,2.78068
Le Temple-de-Bretagne,47.32868,-1.79143
Les Ormes,46.97211,0.60608
Les Artigues-de-Lussac,44.97182,-0.13958
Le Palais,47.3463,-3.15583
Le Monastier-sur-Gazeille,44.93333,4.0
Le Mesnil-Esnard,49.41319,1.14521
Leers,50.68217,3.24429
Le Cannet,43.57662,7.01912
Laval,48.07247,-0.77019
Laval-en-Belledonne,45.25292,5.93318
La Tourlandry,47.14375,-0.69688
Laruns,42.98826,-0.42658
Larchamp,48.36253,-0.99865
Lanmeur,47.83333,-3.71667
Lanester,47.76316,-3.3393
Lampaul-Guimiliau,48.49282,-4.04132
Lalinde,44.8368,0.73777
La Jumellière,47.27976,-0.72952
La Jarrie,46.12888,-1.00955
La Gouesnière,48.60445,-1.89516
La Ferrière,46.71392,-1.31481
La Fère,49.66286,3.36631
Avrillé,47.50663,-0.58955
Avion,50.41038,2.83053
Avallon,47.49002,3.90832
Auzat-la-Combelle,45.45224,3.31825
Aurillac,44.92539,2.43983
Aubigny-sur-Nère,47.48819,2.43895
Arudy,43.1064,-0.43333
Arpajon-sur-Cère,44.90391,2.45664
Arc-et-Senans,47.03127,5.77027
Apremont,46.75009,-1.74082
Appoigny,47.87467,3.52524
Antrain,48.46037,-1.48463
Anould,48.18526,6.94597
Angevillers,49.38815,6.0443
Angerville,48.31354,1.99935
Alençon,48.43476,0.09311
Alba-la-Romaine,44.55537,4.59846
Agon-Coutainville,49.04167,-1.575
Agneaux,49.11905,-1.1061
Ablon,49.39214,0.29584
Meudon-la-Forêt,48.78404,2.22507
Le Chapitre,43.30053,5.38433
Saint-Jean du Désert,43.29331,5.42134
La Chapelle-sur-Loire,47.25063,0.21887
Labastide-Saint-Sernin,43.73743,1.46985
Labastide-Saint-Georges,43.69962,1.84585
La Barre-de-Monts,46.88421,-2.11862
Jouy-le-Potier,47.74553,1.81115
Jouarre,48.92661,3.13168
Joigny,47.98288,3.40096
Jarny,49.15873,5.8764
Ivry-sur-Seine,48.81568,2.38487
Istres,43.51345,4.98747
Is-sur-Tille,47.5267,5.10649
Igon,43.15992,-0.23217
Hirson,49.92262,4.08259
Herblay,48.98994,2.1699
Hautmont,50.25077,3.92143
Haucourt,49.48982,5.80361
Hatten,48.90123,7.97968
Gurgy,47.86712,3.56341
Gundershoffen,48.90648,7.66096
Guéthary,43.42419,-1.60901
Guécélard,47.87626,0.12928
Grésy-sur-Isère,45.59898,6.25358
Grasse,43.65783,6.92537
Grandvilliers,49.66547,1.94088
Gleizé,45.98916,4.69708
Giberville,49.18158,-0.28386
Gétigné,47.07584,-1.24978
Frouzins,43.51482,1.32523
Frouard,48.75994,6.13036
Frontenay-Rohan-Rohan,46.25276,-0.53833
Freneuse,49.04832,1.60168
Fougères,48.35157,-1.19961
Forges-les-Eaux,49.61391,1.54449
Forcalquier,43.95927,5.77945
Fontaine-la-Guyon,48.4727,1.31417
Flesselles,50.00202,2.26119
Flavy-le-Martel,49.71299,3.1915
Fismes,49.30773,3.68607
Farébersviller,49.11898,6.86914
Fains-Véel,48.78333,5.13333
Eysines,44.88442,-0.65141
Étrépagny,49.30623,1.61139
Étrelles,48.06057,-1.19377
Étainhus,49.56648,0.31285
Estevelles,50.47653,2.90928
Entrange,49.413,6.10501
Enghien-les-Bains,48.96667,2.31667
Éguilles,43.56867,5.35575
Écoyeux,45.82221,-0.50604
Échenevex,46.30923,6.03963
Durtal,47.67247,-0.23393
Drain,47.33655,-1.20773
Donzenac,45.22731,1.524
Domalain,47.99646,-1.24136
Darvoy,47.85839,2.10033
Curgies,50.32975,3.60299
Cuffies,49.40358,3.32119
Cruas,44.65706,4.76293
Croissy-sur-Seine,48.87925,2.13836
Crémieu,45.72557,5.24911
Creissels,44.08564,3.06163
Crêches-sur-Saône,46.24475,4.78678
Couzeix,45.87645,1.23842
Couternon,47.33333,5.15
Courlay,46.77937,-0.56763
Coupvray,48.89289,2.7967
Coulonges-sur-l'Autize,46.4834,-0.59884
Corenc,45.21889,5.76497
Claye-Souilly,48.94492,2.68566
Civrieux,45.92086,4.88249
Choisey,47.06389,5.45911
Cherveux,46.41559,-0.35743
Chemaudin,47.22392,5.89419
Chauvé,47.15199,-1.98666
Châtel-Saint-Germain,49.12255,6.08006
Château-Landon,48.14721,2.69754
Charvieu-Chavagneux,45.75,5.15
Chars,49.16032,1.93669
